date,portfolio_value,fold_id
2023-03-03,1000000.0,27
2023-03-06,1000000.0,27
2023-03-08,1000000.0,27
2023-03-09,1000000.0,27
2023-03-10,1000000.0,27
2023-03-13,1000000.0,27
2023-03-14,1000000.0,27
2023-03-15,1000000.0,27
2023-03-16,1000000.0,27
2023-03-17,1000000.0,27
2023-03-20,1000000.0,27
2023-03-21,1000000.0,27
2023-03-22,1000000.0,27
2023-03-23,1000000.0,27
2023-03-24,1000000.0,27
2023-03-27,1000000.0,27
2023-03-28,1000000.0,27
2023-03-29,1000000.0,27
2023-03-31,1000000.0,27
2023-04-03,1000000.0,27
2023-04-05,1000000.0,27
2023-04-06,1000000.0,27
2023-04-10,1000000.0,27
2023-04-11,1000312.55,27
2023-04-12,997329.33,27
2023-04-13,996609.77,27
2023-04-17,998749.55,27
2023-04-18,1003422.03,27
2023-04-19,1003357.13,27
2023-04-20,1001061.37,27
2023-04-21,1001413.15,27
2023-04-24,1001751.69,27
2023-04-25,1003356.6,27
2023-04-26,1001911.95,27
2023-04-27,1005651.92,27
2023-04-28,1009746.93,27
2023-05-02,1010449.83,27
2023-05-03,1003070.74,27
2023-05-04,1007390.49,27
2023-05-05,1006903.91,27
2023-05-08,1010248.43,27
2023-05-09,1010014.51,27
2023-05-10,1010740.8,27
2023-05-11,1005235.58,27
2023-05-12,1005334.68,27
2023-05-15,1005571.13,27
2023-05-16,1006347.85,27
2023-05-17,1007153.85,27
2023-05-18,1004949.47,27
2023-05-19,1003181.25,27
2023-05-22,1005372.33,27
2023-05-23,1005784.0,27
2023-05-24,1005554.24,27
2023-05-25,1005571.16,27
2023-05-26,1006003.25,27
2023-05-29,1005864.59,27
2023-05-30,1006014.41,27
2023-05-31,1005879.74,27
2023-04-03,1000000.0,28
2023-04-05,1000000.0,28
2023-04-06,1000000.0,28
2023-04-10,1000000.0,28
2023-04-11,1000312.55,28
2023-04-12,997329.33,28
2023-04-13,996609.77,28
2023-04-17,998749.55,28
2023-04-18,1003422.03,28
2023-04-19,1003357.13,28
2023-04-20,1001061.37,28
2023-04-21,1001413.15,28
2023-04-24,1001751.69,28
2023-04-25,1003356.6,28
2023-04-26,1001911.95,28
2023-04-27,1005651.92,28
2023-04-28,1009746.93,28
2023-05-02,1010449.83,28
2023-05-03,1003070.74,28
2023-05-04,1007390.49,28
2023-05-05,1006903.91,28
2023-05-08,1010248.43,28
2023-05-09,1010014.51,28
2023-05-10,1010740.8,28
2023-05-11,1005235.58,28
2023-05-12,1005334.68,28
2023-05-15,1005571.13,28
2023-05-16,1006347.85,28
2023-05-17,1007153.85,28
2023-05-18,1004949.47,28
2023-05-19,1003181.25,28
2023-05-22,1005372.33,28
2023-05-23,1005784.0,28
2023-05-24,1005554.24,28
2023-05-25,1005571.16,28
2023-05-26,1006003.25,28
2023-05-29,1005864.59,28
2023-05-30,1006014.41,28
2023-05-31,1005879.74,28
2023-06-01,1005626.97,28
2023-06-02,1005442.69,28
2023-06-05,1005529.79,28
2023-06-06,1005429.58,28
2023-06-07,1005798.99,28
2023-06-08,1005510.65,28
2023-06-09,1005600.76,28
2023-06-12,1006159.42,28
2023-06-13,1006177.44,28
2023-06-14,1006529.74,28
2023-06-15,1006529.74,28
2023-06-16,1006529.74,28
2023-06-19,1006529.74,28
2023-06-20,1006529.74,28
2023-06-21,1006529.74,28
2023-06-22,1006529.74,28
2023-06-23,1006529.74,28
2023-06-26,1006529.74,28
2023-06-27,1006529.74,28
2023-06-28,1006529.74,28
2023-06-30,1006529.74,28
2023-05-02,1000000.0,29
2023-05-03,1004000.73,29
2023-05-04,1004359.2,29
2023-05-05,996231.96,29
2023-05-08,997433.79,29
2023-05-09,994086.13,29
2023-05-10,994655.82,29
2023-05-11,994780.05,29
2023-05-12,996684.56,29
2023-05-15,997532.37,29
2023-05-16,998108.2,29
2023-05-17,996271.14,29
2023-05-18,991269.16,29
2023-05-19,991099.94,29
2023-05-22,991645.35,29
2023-05-23,993357.12,29
2023-05-24,992212.59,29
2023-05-25,992402.03,29
2023-05-26,993383.36,29
2023-05-29,993337.31,29
2023-05-30,993229.25,29
2023-05-31,994811.53,29
2023-06-01,993418.1,29
2023-06-02,993369.49,29
2023-06-05,992779.63,29
2023-06-06,994395.67,29
2023-06-07,998908.33,29
2023-06-08,997051.95,29
2023-06-09,997015.0,29
2023-06-12,998900.61,29
2023-06-13,1000251.55,29
2023-06-14,1000576.56,29
