fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct,signal_score_raw,vix_at_entry,nifty_above_ema50_at_entry,fii_net_cr_at_entry,sector_score_at_entry,had_tier_a_news,mfe_pct,mae_pct,triggered_signals
43,DRREDDY.NS,Pharma,2024-07-29,2024-08-27,1361.43,1381.74,44,59902.920000000006,64,0.125,MAX_AGE,808.93,1.3504,True,64,12.949999809265137,True,0.0,100,False,3.0966,1.4572,"MACD hist 1.4942 > 0 | Price ₹1359 > EMA20 ₹1316 | Price ₹1359 > EMA50 ₹1254 | Volume 1.6× average | Sector Pharma bullish (score 100) | Near 75d high (₹1384, -1.8% away) — breakout setup | Nifty +0.01% (FII data unavailable — market signal neutral)"
44,MARUTI.NS,Auto,2024-08-01,2024-08-02,13111.99,12571.25,4,52447.96,64,0.125,STOP,-2233.02,-4.2576,False,64,12.930000305175781,True,0.0,100,False,0.0,3.98,"MACD hist 76.0609 > 0 | Price ₹13092 > EMA20 ₹12439 | Price ₹13092 > EMA50 ₹12355 | Volume 2.9× average | Sector Auto bullish (score 100) | Near 75d high (₹13407, -2.4% away) — breakout setup | Nifty +0.24% (FII data unavailable — market signal neutral)"
44,TVSMOTOR.NS,Auto,2024-08-01,2024-08-06,2568.41,2456.28,23,59073.42999999999,64,0.125,STOP,-2657.71,-4.499,False,64,12.930000305175781,True,0.0,100,False,0.0,4.2223,"MACD hist 7.3780 > 0 | Price ₹2565 > EMA20 ₹2443 | Price ₹2565 > EMA50 ₹2347 | Volume 2.5× average | Sector Auto bullish (score 100) | Near 75d high (₹2582, -0.7% away) — breakout setup | Nifty +0.24% (FII data unavailable — market signal neutral)"
44,IPCALAB.NS,Pharma,2024-08-13,2024-08-16,1395.22,1332.39,42,58599.24,64,0.125,STOP,-2716.83,-4.6363,False,64,16.170000076293945,True,0.0,90,False,0.0,4.3599,"⚠ RSI 78.9 > 75 (overbought — elevated reversal risk) | MACD hist 10.1397 > 0 | Price ₹1393 > EMA20 ₹1299 | Price ₹1393 > EMA50 ₹1248 | Volume 2.9× average | Sector Pharma bullish (score 90) | Near 75d high (₹1410, -1.2% away) — breakout setup"
44,SUNPHARMA.NS,Pharma,2024-08-01,2024-08-30,1690.89,1790.46,35,59181.15,64,0.125,MAX_AGE,3397.63,5.7411,True,64,12.930000305175781,True,0.0,100,False,6.0476,0.5947,"MACD hist 11.1296 > 0 | Price ₹1688 > EMA20 ₹1605 | Price ₹1688 > EMA50 ₹1542 | Volume 2.4× average | Sector Pharma bullish (score 100) | Near 75d high (₹1719, -1.8% away) — breakout setup | Nifty +0.24% (FII data unavailable — market signal neutral)"
44,AUROPHARMA.NS,Pharma,2024-08-12,2024-09-10,1458.51,1510.45,40,58340.4,64,0.125,MAX_AGE,1993.42,3.4169,True,64,15.869999885559082,True,0.0,90,False,7.2006,0.0,"MACD hist 1.9078 > 0 | Price ₹1456 > EMA20 ₹1396 | Price ₹1456 > EMA50 ₹1318 | Volume 1.5× average | Sector Pharma bullish (score 90) | Near 75d high (₹1484, -1.9% away) — breakout setup"
45,HCLTECH.NS,IT,2024-09-02,2024-09-09,1686.98,1626.16,35,59044.3,64,0.125,STOP,-2208.0,-3.7396,False,64,14.0600004196167,True,0.0,100,False,0.0,3.4603,"⚠ RSI 79.0 > 75 (overbought — elevated reversal risk) | MACD hist 8.9245 > 0 | Price ₹1684 > EMA20 ₹1567 | Price ₹1684 > EMA50 ₹1481 | Volume 1.6× average | Sector IT bullish (score 100) | Near 75d high (₹1689, -0.3% away) — breakout setup | Nifty +0.17% (FII data unavailable — market signal neutral)"
45,IGL.NS,Energy,2024-09-03,2024-09-09,265.07,253.14,226,59905.82,64,0.125,STOP,-2775.89,-4.6338,False,64,13.84000015258789,True,0.0,100,False,0.0,4.3588,"MACD hist 0.1122 > 0 | Price ₹265 > EMA20 ₹258 | Price ₹265 > EMA50 ₹250 | Volume 1.8× average | Sector Energy bullish (score 100) | Near 75d high (₹272, -2.6% away) — breakout setup | Nifty +0.00% (FII data unavailable — market signal neutral)"
45,IOC.NS,Energy,2024-09-02,2024-09-11,167.88,158.96,357,59933.159999999996,64,0.125,STOP,-3263.51,-5.4453,False,64,14.0600004196167,True,0.0,100,False,1.3092,5.1714,"MACD hist 0.5440 > 0 | Price ₹168 > EMA20 ₹162 | Price ₹168 > EMA50 ₹158 | Volume 1.6× average | Sector Energy bullish (score 100) | Near 75d high (₹174, -3.9% away) — breakout setup | Nifty +0.17% (FII data unavailable — market signal neutral)"
45,HINDPETRO.NS,Energy,2024-09-02,2024-09-18,413.24,392.36,145,59919.8,64,0.125,STOP,-3106.87,-5.185,False,64,14.0600004196167,True,0.0,100,False,4.6699,4.9103,"⚠ RSI 80.5 > 75 (overbought — elevated reversal risk) | MACD hist 1.8230 > 0 | Price ₹413 > EMA20 ₹382 | Price ₹413 > EMA50 ₹356 | Volume 1.6× average | Sector Energy bullish (score 100) | Near 75d high (₹422, -2.3% away) — breakout setup | Nifty +0.17% (FII data unavailable — market signal neutral)"
45,BIOCON.NS,Pharma,2024-09-04,2024-09-19,379.46,360.48,158,59954.68,64,0.125,STOP,-3078.2,-5.1342,False,64,14.380000114440918,True,0.0,100,False,2.9562,4.8602,"MACD hist 2.7741 > 0 | Price ₹379 > EMA20 ₹355 | Price ₹379 > EMA50 ₹351 | Volume 2.9× average | Sector Pharma bullish (score 100) | Near 75d high (₹383, -1.0% away) — breakout setup"
46,OBEROIRLTY.NS,Realty,2024-10-15,2024-10-17,2015.21,1885.19,29,58441.090000000004,64,0.125,STOP,-3846.76,-6.5823,False,64,13.0,True,0.0,75,False,0.0,6.3114,"MACD hist 13.5561 > 0 | Price ₹2012 > EMA20 ₹1857 | Price ₹2012 > EMA50 ₹1801 | Volume 1.7× average | Sector Realty bullish (score 75) | Near 75d high (₹2024, -0.6% away) — breakout setup"
46,IPCALAB.NS,Pharma,2024-10-14,2024-10-21,1680.24,1607.64,35,58808.4,64,0.125,STOP,-2619.4,-4.4541,False,64,13.0,True,0.0,70,False,1.0997,4.1771,"⚠ RSI 77.8 > 75 (overbought — elevated reversal risk) | MACD hist 16.3226 > 0 | Price ₹1678 > EMA20 ₹1521 | Price ₹1678 > EMA50 ₹1432 | Volume 1.8× average | Sector Pharma bullish (score 70) | Near 75d high (₹1703, -1.5% away) — breakout setup | Nifty +0.66% (FII data unavailable — market signal neutral)"
46,HCLTECH.NS,IT,2024-10-15,2024-10-31,1746.23,1654.9,34,59371.82,64,0.125,STOP,-3183.62,-5.3622,False,64,13.0,True,0.0,78,False,0.593,5.0876,"MACD hist 4.1327 > 0 | Price ₹1744 > EMA20 ₹1679 | Price ₹1744 > EMA50 ₹1620 | Volume 1.9× average | Sector IT bullish (score 78) | Near 75d high (₹1755, -0.7% away) — breakout setup"
