fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct
23,APOLLOHOSP.NS,Healthcare,2022-11-01,2022-11-10,4468.03,4244.3,13,58084.39,64,0.125,STOP,-2908.44,-5.0073,False
23,DRREDDY.NS,Pharma,2022-11-01,2022-11-21,889.08,852.73,67,59568.36,64,0.125,STOP,-2435.48,-4.0885,False
23,TORNTPHARM.NS,Pharma,2022-11-01,2022-11-24,1619.47,1550.32,37,59920.39,64,0.125,STOP,-2558.65,-4.2701,False
23,COALINDIA.NS,Metals,2022-11-10,2022-11-24,189.92,182.17,315,59824.799999999996,64,0.125,STOP,-2440.27,-4.079,False
23,PNB.NS,Banking,2022-11-21,2022-11-25,45.14,50.83,1322,59675.08,64,0.125,TARGET,7517.32,12.5971,True
23,TCS.NS,IT,2022-11-01,2022-11-30,2931.22,3049.11,20,58624.399999999994,64,0.125,MAX_AGE,2357.78,4.0218,False
23,HDFCBANK.NS,Banking,2022-11-01,2022-11-30,728.13,773.93,82,59706.659999999996,64,0.125,MAX_AGE,3755.94,6.2907,False
23,SUNPHARMA.NS,Pharma,2022-11-01,2022-11-30,1000.32,1009.43,59,59018.880000000005,64,0.125,MAX_AGE,537.76,0.9112,False
23,LT.NS,Infrastructure,2022-11-01,2022-11-30,1967.71,2016.7,30,59031.3,64,0.125,MAX_AGE,1469.65,2.4896,False
23,CUMMINSIND.NS,Infrastructure,2022-11-01,2022-11-30,1286.6,1348.91,46,59183.6,64,0.125,MAX_AGE,2866.42,4.8433,False
23,PERSISTENT.NS,IT,2022-11-25,2022-12-01,1933.98,2105.96,30,58019.4,64,0.125,TARGET,5159.31,8.8924,True
23,TECHM.NS,IT,2022-12-01,2022-12-09,1004.27,943.91,60,60256.2,64,0.125,STOP,-3621.63,-6.0104,False
23,IOC.NS,Energy,2022-11-24,2022-12-12,59.84,65.52,992,59361.280000000006,64,0.125,TARGET,5638.99,9.4994,True
23,ICICIBANK.NS,Banking,2022-11-30,2022-12-15,929.88,886.84,65,60442.2,64,0.125,STOP,-2797.34,-4.6281,False
23,TCS.NS,IT,2022-11-30,2022-12-16,3049.11,2913.73,19,57933.090000000004,64,0.125,STOP,-2572.22,-4.44,False
23,M&M.NS,Auto,2022-11-30,2022-12-16,1272.45,1219.82,47,59805.15,64,0.125,STOP,-2473.77,-4.1364,False
23,HEROMOTOCO.NS,Auto,2022-11-30,2022-12-16,2516.73,2404.61,24,60401.520000000004,64,0.125,STOP,-2690.85,-4.4549,False
23,BANKBARODA.NS,Banking,2022-12-09,2022-12-21,172.23,162.14,351,60452.729999999996,64,0.125,STOP,-3541.47,-5.8582,False
23,MOIL.NS,Metals,2022-12-16,2022-12-22,156.03,146.81,386,60227.58,64,0.125,STOP,-3558.08,-5.9077,False
23,MGL.NS,Energy,2022-12-20,2022-12-22,841.31,800.62,71,59733.009999999995,64,0.125,STOP,-2889.21,-4.8369,False
23,GAIL.NS,Energy,2022-12-15,2022-12-23,84.51,79.48,718,60678.18,64,0.125,STOP,-3613.98,-5.956,False
23,OFSS.NS,IT,2022-11-28,2022-12-26,2612.68,2537.16,22,57478.96,64,0.125,MAX_AGE,-1661.4,-2.8905,False
23,HINDUNILVR.NS,FMCG,2022-11-30,2022-12-28,2540.71,2445.35,23,58436.33,64,0.125,MAX_AGE,-2193.37,-3.7534,False
23,MARICO.NS,FMCG,2022-12-12,2022-12-30,511.55,488.64,119,60874.450000000004,64,0.125,STOP,-2726.16,-4.4783,False
23,HINDALCO.NS,Metals,2023-01-02,2023-01-04,477.63,452.57,123,58748.49,64,0.125,STOP,-3081.91,-5.2459,False
23,JSWSTEEL.NS,Metals,2023-01-02,2023-01-04,763.99,725.56,77,58827.23,64,0.125,STOP,-2959.19,-5.0303,False
23,MANAPPURAM.NS,Finance,2023-01-03,2023-01-18,114.89,110.05,514,59053.46,64,0.125,STOP,-2488.93,-4.2147,False
23,HINDALCO.NS,Metals,2023-01-18,2023-01-27,493.22,469.74,118,58199.96000000001,64,0.125,STOP,-2771.19,-4.7615,False
23,SAIL.NS,Metals,2023-01-18,2023-01-30,86.72,83.04,675,58536.0,64,0.125,STOP,-2486.98,-4.2486,False
23,GAIL.NS,Energy,2023-01-23,2023-01-30,88.77,82.43,659,58499.43,64,0.125,STOP,-4179.24,-7.1441,False
23,NATIONALUM.NS,Metals,2023-01-02,2023-01-31,70.64,71.19,836,59055.04,64,0.125,MAX_AGE,458.65,0.7766,False
23,PETRONET.NS,Energy,2023-01-23,2023-01-31,202.23,193.89,289,58444.469999999994,64,0.125,STOP,-2411.08,-4.1254,False
23,WIPRO.NS,IT,2023-01-18,2023-01-31,188.11,186.54,311,58502.21000000001,64,0.125,FOLD_END,-487.25,-0.8329,False
23,HCLTECH.NS,IT,2023-01-18,2023-01-31,966.8,981.72,60,58008.0,64,0.125,FOLD_END,895.18,1.5432,False
23,MGL.NS,Energy,2023-01-23,2023-01-31,816.99,817.45,71,58006.29,64,0.125,FOLD_END,32.49,0.056,False
24,PERSISTENT.NS,IT,2022-12-01,2022-12-06,2105.96,2014.03,28,58966.880000000005,64,0.125,STOP,-2574.14,-4.3654,False
24,TECHM.NS,IT,2022-12-01,2022-12-09,1004.27,943.91,59,59251.93,64,0.125,STOP,-3561.27,-6.0104,False
24,COFORGE.NS,IT,2022-12-01,2022-12-09,790.3,744.29,75,59272.5,64,0.125,STOP,-3450.52,-5.8215,False
24,PRESTIGE.NS,Realty,2022-12-01,2022-12-13,493.76,471.41,121,59744.96,64,0.125,STOP,-2704.57,-4.5269,False
24,PNB.NS,Banking,2022-12-06,2022-12-13,52.58,56.8,1138,59836.04,64,0.125,TARGET,4802.72,8.0265,True
24,GODREJCP.NS,FMCG,2022-12-09,2022-12-13,882.19,837.49,67,59106.73,64,0.125,STOP,-2995.16,-5.0674,False
24,DLF.NS,Realty,2022-12-01,2022-12-16,404.19,385.53,148,59820.12,64,0.125,STOP,-2761.96,-4.6171,False
24,TATACOMM.NS,Telecom,2022-12-14,2022-12-16,1309.63,1255.16,45,58933.350000000006,64,0.125,STOP,-2451.32,-4.1595,False
24,BANKBARODA.NS,Banking,2022-12-09,2022-12-21,172.23,162.14,345,59419.35,64,0.125,STOP,-3480.93,-5.8582,False
24,MOIL.NS,Metals,2022-12-15,2022-12-22,157.47,146.81,377,59366.19,64,0.125,STOP,-4018.0,-6.7682,False
24,IGL.NS,Energy,2022-12-01,2022-12-23,198.64,183.7,302,59989.28,64,0.125,STOP,-4511.71,-7.5209,False
24,TATASTEEL.NS,Metals,2022-12-01,2022-12-23,102.74,94.85,583,59897.42,64,0.125,STOP,-4599.49,-7.6789,False
